Revenue Growth,EPS,Gross Margin,priceEarningsRatio,Class
0.0894,0.82,0.4118,29.5854,1
-0.0666,-0.42,1.7925,0,1
-0.0274,-0.02,0.1804,0,1
0.1757,2.47,1,16.8138,1
0.1881,-1.99,0.3514,0,1
0.781,1.07,0.8261,4.3925,0
1.1759,0.78,0.8675,11.6923,0
0.4058,5.09,0.5993,48.4971,1
0,5.7,0.6692,22.6404,1
0.0814,2.27,0.3732,34.1013,1
0.0857,1.21,0.7136,29.2066,1
0.0498,5.79,1,8.7116,1
0.0605,1.48,0.3808,11.1554,1
-0.114,0.6598,1,13.8527,0
0.0546,4.06,1,11.5936,1
0.1206,-0.78,0.1114,0,1
0.2482,0.11,0.3318,238.6364,0
0.2415,0.53,0.3229,60.717,0
0.5552,-2.12,0.0648,0,1
0.417,-0.23,0.751,0,1
0.0802,5.69,0.5962,8.7698,1
0.0716,0.55,0.36,15.9545,1
0.0783,4.45,0.4127,13.5483,1
1.2954,1.62,0.7489,0,1
0.0761,1.1,0.3564,11.8273,1
0.5354,0.86,0.6271,28.7674,1
0.345,1.4,0.5985,2.5857,0
0.1164,1.34,0.5845,53.9776,1
-0.0101,3.11,1,7.5659,1
0.4117,-1.47,0.3011,0,1
0.0411,4.15,1,11.012,1
0.0758,18.05,0.1942,17.867,1
0.067,0.3479,0.1332,10.8077,1
0.0921,0.6,0.6021,26.7667,1
0.1908,-4.25,0.7009,0,0
0.0825,2.58,0.7783,10.8798,1
0.0407,1.22,1,9.7705,1
-0.0843,-0.0115,1,0,0
0.047,1.05,0.6068,20.3333,1
0.1127,5.07,0.2341,13.5227,0
0.5845,-1.31,0.5692,0,0
1.2033,2.37,0.523,10.5781,1
0.0409,1.93,0.1766,10.9378,1
0.1915,4.45,0.3208,13.5573,1
-0.0083,3.69,0.4831,13.3848,1
0.0082,2.29,0.6973,35.4978,1
0.0151,-4.27,0.4039,0,0
-0.0144,0.4772,1,15.8005,1
1.0727,0.76,0.8418,14.5,0
0.3043,0.75,0.6318,2.28,0
0.5413,5.93,0.5557,14.7066,0
0.0686,1.25,0.3102,12.2,1
0.055,5.71,0.6511,16.5499,1
0.7948,-0.11,0.5425,0,0
0.0344,2.8,0.2435,19.2679,1
0.053,-0.57,0.1621,0,1
0.1994,-1.1,0.5243,0,1
0.1919,0.5,0.664,131.24,1
-0.0436,2.27,1,13.1322,1
-0.0087,-2,0.5695,0,0
0.4481,1.48,0.2815,0,1
0.2698,-1.16,0.7328,0,0
0.4264,5.4,0.4199,11.3667,0
0.1533,-1.6074,0.1906,0,1
0.0945,3.76,1,6.2394,1
0.0542,1.83,0.9675,5.7158,1
0.0387,4.3,0.6787,10.8093,1
-0.1663,-4.2,0.1816,0,1
0.1503,1.22,0.2479,21.7869,0
-0.1051,0.1807,0.6164,21.6934,1
0.0433,1.78,0.6588,37.0843,1
1.2462,-17.94,0.0773,0,0
0.3682,0.64,0.684,74.3281,0
0.6442,0.377,0.4855,100.1592,1
0.1247,12.45,0.238,20.0096,1
0.3367,1.11,0.5312,5.2072,0
0.0791,-0.11,0.3506,0,1
0.3093,20.68,0.4025,72.6291,1
0.3508,2.78,0.3689,96.2806,1
0.1549,1.71,0.4643,16.3158,1
0.0738,3.86,0.3896,16.0959,1
0.1067,5.37,0.3917,18.419,1
0.2425,2.31,0.1401,24.9567,1
0.0913,4.36,1,9.344,1
0.366,-3.24,0.5755,0,1
0.0788,0.82,0.3126,12.0366,0
0.1637,10.69,0.3356,17.7661,1
0.0816,-0.16,0.4991,0,1
0.643,0.23,0.2177,171.087,1
0.0514,1.52,0.3904,8.2434,1
0.0206,3.96,1,10.9394,1
0.0713,2.77,0.6986,23.6751,1
0.1752,5.65,0.9616,11.3434,1
0.062,3.74,0.4208,19.107,1
-0.0784,0.79,0.3789,11.8608,0
0.0772,3.54,1,8.3983,1
0.146,1.5037,0.6037,18.6008,1
0.035,9.09,0.4909,20.9615,0
0.0961,21.63,0.865,13.9122,0
0.1591,0.5,0.0772,59.12,1
0.1331,6.46,0.3048,26.1718,1
3.3185,5.72,0.2746,8.2168,1
-0.0902,-0.6719,0.1612,0,1
0.1042,3.27,0.6792,16.9969,1
0.8887,1.36,0.8438,11.75,1
0.0786,3.07,0.492,16.9544,1
0.1727,-2.28,0.1826,0,1
-0.0412,1.8706,0.6677,20.4266,1
-0.1577,-2.35,0.44,0,0
0.2987,2.77,0.0881,7.2347,0
0.2453,7.3,0.0478,10.2699,1
-0.0167,0.36,0.5554,52.25,1
0.1061,1.13,1,8.708,1
0.0126,-2.58,0.8525,0,1
0.0667,7.33,0.3405,27.9563,1
0.1547,11.38,0.4941,13.9367,0
0.1324,-1.26,0.613,0,0
0.0813,1.33,0.1867,12.6767,1
-0.0121,5.36,0.4626,7.4888,1
-0.0239,0.727,0.3571,24.2366,1
0.8303,4.54,0.7642,3.4097,0
0.1058,6.68,1,12.5135,1
0.1403,3.88,0.2284,10.8814,1
0.0931,7.73,0.6013,10.8318,1
0.0407,2.93,0.4494,9.4369,0
0.0005,4.35,0.2704,7.0069,0
0.1863,0.31,0.6598,112.2903,1
0.0737,1.61,0.1419,12.8137,1
0.2562,7.34,0.3155,17.7875,1
0.0074,-8.36,0.3396,0,0
0.2403,1.25,0.6466,17.88,0
0.0057,9.57,0.4641,11.8777,1
0.0002,0.75,0.5918,29.3289,1
0.045,3.04,0.542,10.5625,0
0.1081,1.97,0.1618,10.2081,0
0.0247,2.34,0.3276,15.0342,1
3.7864,1.43,0.8896,13.1329,1
0.684,-0.11,0.4493,0,1
-0.0964,-14.6,0.3486,0,1
0.2494,1.91,0.1406,12.8743,1
0.0075,4.05,0.3028,28.1333,1
0.05,3.9,0.3112,19.1641,1
0.2005,1.35,0.6305,94.6963,1
0.2037,10.39,0.3107,12.23,1
-0.1257,0.32,0.1958,39.2188,1
-0.0398,0.69,0.35,39.7101,0
-0.0018,-4.51,0.5187,0,1
-0.3265,2.14,1,9.1729,1
0.208,1.19,0.134,18.1513,1
-0.0035,-0.38,0.3624,0,0
0.0666,3.4,0.5762,18.7088,1
0.0445,0.88,0.2501,45,1
0.1333,0.87,0.3589,47.0575,1
0.1152,3.5311,0.8866,22.1546,1
0.0009,3.373,0.4832,14.6082,1
0.5089,13.84,0.4643,1.716,1
0.0348,5.32,0.2969,13.3026,1
0.0782,0.1056,0.4289,119.1288,0
0.1161,1.19,0.3951,25.3866,1
0.0938,2.38,0.3217,12.2857,1
0.0251,3.8,0.3661,18.6711,1
0.0413,1.91,0.209,22.3455,1
-0.0282,1.85,0.4694,2.6216,0
-0.0053,4.0074,0.3678,5.3751,0
0.0196,1.82,0.2397,7.9451,1
0.0454,2.59,0.3663,10.9382,1
0.0608,1.21,0.3174,28.7934,1
-0.8387,-0.06,1,0,1
0.0383,4.1,0.3008,13.7732,1
0.2367,5.28,0.8677,47.517,1
0.0539,3.85,0.3489,14.8078,1
0.0675,10.16,0.2766,15.0935,1
-0.0374,5.13,0.3913,4.575,0
0.8251,-5.72,0.1883,0,1
0.067,0.99,0.375,12.8485,1
0.0242,2.2876,0.4828,16.1348,1
0.6678,1.96,1,8.4235,1
-0.1568,0.79,1,11.9114,1
0.2556,0.2,0.3413,8.25,0
0.1715,-0.14,0.7599,0,1
0.0616,2.05,0.2335,18.478,1
0.1107,1.52,1,10.9605,1
0.0904,4.95,0.2947,8.2949,1
0.0042,3.79,0.4485,12.0211,1
0.3101,1.39,0.6545,33.3597,0
-0.0584,0.96,0.3727,20.3438,1
0.045,2.19,0.3399,19.2922,1
0,0.03,0,97.3333,1
0.1114,6.58,0.2484,16.1824,1
0.405,3.77,0.7445,6.0186,0
0.2198,1.54,0.3852,15.4091,1
-0.0219,-13.25,0.3047,0,0
0.4291,4.4,0.7912,2.5659,0
0.1914,-0.76,-0.0121,0,0
0.3354,-0.87,1,0,1
0.5091,2.66,0.7968,15.109,0
-0.0001,2.6782,0.1395,5.3991,1
-0.5371,-1.21,1,0,1
-0.0184,-0.06,0.1395,0,1
0.13,1.9,0.528,42.0842,1
0.0409,-0.1,0.4507,0,1
0.0142,2,0.2962,18.68,1
0.2393,5.38,0.1965,5.5836,1
0.0179,8.84,0.5456,12.4977,1
0.0201,2.18,0.3549,20.1468,1
0.0973,7.15,0.1301,32.8224,1
0.1383,-0.37,0.8617,0,1
0.2449,1.35,0.6594,80.4667,1
0.2906,0.8437,0.3047,18.7626,1
0.1187,25.53,1,6.5433,1
0.1721,0.42,0.6381,86.7143,1
0.0617,-0.81,0.7727,0,1
0.4807,0.2,0.705,137.9,1
0.1405,3.48,0.4269,22.3103,1
0.1014,0.74,0.1959,38.1486,1
0.1634,0.35,0.9094,278.1714,1
0.2284,-0.23,0.6161,0,1
0.1963,5.63,1,33.508,1
0.0914,3.61,0.3419,16.1247,1
0.0772,4.28,0.4139,31.5093,1
0.13,1.78,0.6029,27.6517,1
-0.0471,7,0.907,5.6571,1
0.2282,2.39,0.4499,6.1674,1
-0.1179,-0.26,0.0902,0,1
-0.017,-1.16,0.2615,0,1
0.1165,2.79,0.7073,56.6989,1
0.3864,-0.76,0.6548,0,1
-0.0048,11.79,0.3855,9.676,1
0.0591,4.93,0.3285,13.927,1
0.0406,3.76,0.3772,22.9521,1
0.0058,2.76,0.5939,21.5652,1
-0.2661,-2.25,1,0,0
0.0901,2.44,0.4316,7.4025,1
-0.026,14.03,0.5778,12.3892,1
0.7259,5.71,0.4616,23.0333,1
1.2105,0.35,0.6892,32.4286,1
0.0578,3.21,0.065,12.7632,1
0.048,1.15,0.5485,50.9478,1
0.1116,1.62,0.8549,75.7531,1
8.9262,-0.44,0.9936,0,0
0.0844,3.02,0.2897,9.8907,1
-0.658,-0.07,0.4051,0,1
0.1922,1.72,0.6944,2.3953,1
0.3823,14.73,0.4663,11.6096,1
0.0163,6.78,0.5157,10.8083,1
0.1653,8.99,0.2756,10.0078,1
0.1222,1.42,0.2159,13.5845,1
0.0396,1.6092,0.0946,4.3438,1
0.0045,-0.16,0.8995,0,1
0.3677,0.71,0.1571,14.9859,1
0.0889,2.03,0.4824,34.1921,1
0.0808,2.05,0.2889,18.5512,1
0.0712,2.9,0.7298,20.2483,1
0.0205,5.14,0.3937,11.8949,0
0.2194,8.32,0.4649,7.4099,0
0.1269,4.81,0.216,18.3119,1
-0.1504,-4.61,0.4463,0,0
0.1479,1.78,0.1558,12.2303,0
0.0147,-0.06,0.1232,0,1
0.0314,2.56,0.5053,40.9829,1
0.0458,0.76,0.5995,16.9342,1
0.0313,9.1,0.3052,14.5187,1
0.1352,2.1112,0.7189,12.9547,1
0.2342,44.22,0.5648,23.6309,1
0.0741,3.46,0.7933,21.7717,1
-0.5393,-2.61,0.9829,0,1
0.0389,0.99,0.2421,22.0808,1
0.0594,1.32,0.1982,34.8333,1
0.0525,1.27,0.7445,30.4488,1
0.0393,12.7,0.8273,15.3283,1
-0.2371,1.38,0.1748,30.7681,1
0.0298,2.14,1,7.8224,1
0.0675,5.64,0.3077,17.6312,1
0.0581,0.9523,0.2988,2.2997,1
0.1869,1.08,1,7.6944,1
0.2711,-2.63,0.2626,0,0
0.2677,0.89,0.2762,11.0112,1
0.0757,0.19,0.2316,13.5789,1
-0.0193,2.32,0.4264,11.1983,1
0.0941,-0.68,0.3399,0,0
0.2284,4.92,0.2058,6.8415,1
-0.0228,2.17,0.2194,10.7281,1
0.2384,-0.61,0.8848,0,1
0.0424,-0.65,0.2252,0,1
0.1824,5.73,1,32.8307,1
-0.0454,-2.82,0.1687,0,1
0.5378,2.29,1,11.1441,1
-0.2941,0.1201,0.2543,15.2373,1
0.2143,3.9,1,11.2513,1
-0.0328,4.341,0.6618,10.1083,1
0.0721,2.08,0.2277,21.6827,1
-0.0212,5.17,0.3886,10.8627,0
0.075,7.95,0.7352,17.3874,1
0.3217,0.62,0.4544,426.4194,1
0.0731,0.34,0.2907,46.0294,0
0.1752,1.45,0.1325,12.8414,1
0.1048,-0.11,0.2638,0,1
0.2986,0.93,0.3884,17.6344,1
0.0046,3.46,0.3926,13.2919,0
0.042,2.97,0.6261,35.9091,1
0.0019,4.04,0.1846,3.5446,0
0.1221,4.28,0.4423,9.9042,1
0.1573,-0.08,0.1708,0,0
-0.1045,-2.06,0.2246,0,0
0.0761,17.74,0.1353,14.7599,1
0.0458,3.3,0.1404,12.2909,1
0,1.94,0.5182,8.0881,1
0.0218,2.16,0.3826,14.1481,0
0.0606,2.74,0.1888,24.8029,1
0.0027,2.28,1,7.9298,0
0.121,8.33,0.5147,8.1224,1
0.0593,1.14,1,39.5263,1
0.0888,3.61,0.3899,17.5845,0
0.052,-0.4,0.5273,0,1
0.0274,-1.3,0.3519,0,1
0.0528,4.23,0.8541,24.2222,1
0.4831,2.6,0.9653,20.1423,1
0.6035,1.35,0.8214,4.8074,0
0.0724,1.25,0.207,34.808,1
0.0492,10.79,1,10.835,1
0.0746,1.23,0.2781,17.5935,1
-0.0126,0.1942,0.2924,26.828,0
0.1311,12.04,0.166,6.907,1
-0.0535,3.37,0.3197,7.4095,1
-0.1246,-3.59,0.384,0,0
0.1159,6.65,0.1414,6.8346,1
0.0514,1.15,0.3611,14.8696,0
0.2419,2.819,0.1624,13.4516,1
0.0117,2.47,0.386,19.9474,1
0.3659,-1.81,0.6659,0,0
0.0964,0.84,0.3527,24.7619,1
0.2868,0.79,0.5878,64.0759,1
0.1526,2.01,0.7442,7.7512,1
0.0792,5.53,0.9282,17.6365,1
0.1553,2.38,0.7837,9.8277,1
0.1266,3.9,0.2512,25.3333,1
0.0633,1.1149,0.3008,14.9969,1
0.0229,14.53,0.2194,18.075,1
0.2552,0.47,0.437,60.9149,1
0.1685,11.33,0.1855,13.8756,1
-0.03,1.02,0.7179,14.3627,1
-0.009,2.3,1,13.6696,1
0.3083,2.5,1,12.744,1
0.0979,2.32,0.444,28.3448,1
0.2394,1.21,0.6433,88.0579,1
0.0719,4.91,0.3326,8.22,1
-0.1389,0.8,0.5776,24.4875,1
0.9966,-2.84,0.0178,0,1
0.0736,5.62,0.2969,5.0214,0
0.1296,2.94,0.1421,4.6361,1
0.0166,-1.86,0.7136,0,1
0.0998,-10,1,0,0
0.0344,2.76,0.2631,8.0507,1
0.0697,3.33,0.2343,20.4264,1
0.4746,0.88,0.549,87.2841,0
-0.0011,1.65,0.0495,32.3879,1
0.2093,-1.5,0.857,0,0
0.1801,1.92,0.1325,15.6771,1
0.7088,-2.55,0.4885,0,1
0.4358,-1.44,0.6436,0,1
-0.1509,0.91,0.7245,28.5714,1
0.0918,0.62,0.8719,9.5,1
-0.0171,0.64,0.4357,54.1406,1
-0.0114,1.39,1,21.9353,0
0.1161,1.5,0.6291,10.94,1
-0.718,1.52,1,5.7961,1
0.1804,6.4,0.5537,5.1563,1
-0.0015,2.09,0.4944,8.5694,1
0.0492,-0.18,0.6556,0,1
0.0736,3.14,0.7381,36.8535,1
0.141,-5.46,0.4099,0,1
0.0074,1.57,0.499,61.0955,1
0.16,5.13,0.6418,20.2339,1
0.2728,1.85,1,8.3622,1
0.453,1.66,1,7.9277,1
0.0594,3.51,0.2723,17.5454,1
0.6052,13.28,0.7711,7.7402,0
0.2725,0.19,0.1645,28.4737,1
-0.0001,3.17,0.3875,22.7413,1
0.0135,4.43,0.407,12.5847,1
-0.078,-6.99,0.8336,0,0
0.3078,2.37,0.8397,51.6667,1
0.0378,0.21,0.3642,116.9048,0
-0.0323,4.8,0.4673,19.15,1
0.0354,11.96,0.5029,18.0167,1
-0.3941,0.2792,0.8431,9.1691,1
0.2846,7.07,0.211,6.8133,0
0.1762,1.27,0.3758,29.4094,1
0.0012,1.88,0.1781,16.8298,1
0.1163,1.23,0.3356,19.1138,0
-0.0452,1.09,1,15.7248,1
0.2298,0.3,0.7098,53.4333,1
0.0068,2.97,0.9492,7.6296,1
-0.0195,-0.32,0.3857,0,1
0.0428,-12.2,0.4609,0,0
-0.0252,-0.1,0.5757,0,1
0.2114,9.29,1,7.7029,1
0.0441,2.33,0.3489,21.309,1
0.0278,2.49,0.3471,26.3534,1
0.0123,7.932,0.3309,6.112,1
-0.0035,-0.76,0.4514,0,0
0.2826,101641,1,0.0001,1
-0.084,1,0.602,17.04,1
0.1504,2.45,0.3464,14.5388,1
-0.8604,-1.92,0.6669,0,1
0.3782,4.39,0.3356,15.9636,1
-0.0182,1.6,0.035,20.125,0
0.2684,2.62,1,7.9084,1
0.0851,17.08,0.6263,14.5855,0
0.063,7.65,0.2442,9.5569,1
0.0251,-0.27,0.3894,0,0
0.426,1.92,0.3477,30.8281,1
0.0119,1.89,0.4095,9.0265,1
0.0536,3.04,0.4297,21.6513,1
-0.3281,0.37,0.3226,29.7297,0
0.0573,0.55,0.8605,39.0909,0
0.0579,-0.55,0.5742,0,1
0.148,7.33,0.3392,11.9959,1
0.0703,7.46,0.2277,23.0389,1
0.0764,13.82,0.3875,20.4313,1
0.2478,1.11,0.0222,29.4324,0
-0.0096,-15.26,0.8612,0,1
0.0064,2.92,0.2271,6.9897,0
0.063,3.39,0.752,35.0206,1
-0.0266,-0.78,0.3147,0,0
-0.208,-57,-0.122,0,0
0.1636,13.2,0.2413,10.1242,1
0.1433,1.5778,0.4934,15.2934,1
0.0702,10.9,0.3755,11.4174,1
0.0992,0.4943,0.6093,109.5691,1
0.2246,8.24,0.8656,20.1104,1
0.009,-0.44,0.6439,0,1
0.0724,0.79,0.2272,11.6582,1
0.1892,3.75,0.7136,3.0453,0
0.1138,1.38,0.6269,38.6739,1
0.3017,3.7048,0.3645,16.1574,0
0.0898,3.25,0.384,20.0123,1
0.0812,2.31,0.114,18.6234,1
-0.0063,-2.16,0.0677,0,1
0.3598,-0.15,0.7613,0,1
0.1204,4.04,0.1891,15.2401,1
0.2899,1.73,1,9.4451,1
0.5423,1.1317,0.6444,3.7908,1
0.086,9.58,0.697,15.6096,1
2.8781,4.02,0.9795,8.1766,0
0.0917,11.87,0.0962,7.2578,1
0.0436,1.91,0.8253,27.4555,1
0.0906,1.78,0.6487,34.3146,1
-0.0041,0.8061,1,13.4723,1
0.0353,4.56,0.3699,18.6842,1
0.1171,0.08,0.5456,248.125,1
0.1004,1.26,0.879,34.5079,1
0.1544,0.95,0.2828,16.5053,0
0.0988,0.98,0.5468,66.1122,1
0.1684,2.07,0.414,4.657,1
0.2939,1.22,0.1563,23.9426,0
-0.0163,1.52,0.1579,21.2697,0
-0.1613,-0.5203,0.1268,0,0
0.1148,1.93,0.479,11.8601,1
0.0254,1.47,0.3284,11.3401,1
0.0175,0.92,0.6395,18.0652,1
0.1878,3.56,0.233,7.3006,1
0.1071,5.07,0.1185,4.0769,0
-0.0301,0.72,1,14.4444,1
-0.0946,0,0.3188,0,0
0.0363,0.32,0.655,71.875,1
0.2572,-7.1,0.4518,0,0
0.0021,2.23,0.3156,20.4619,0
0.0779,0.43,0.6266,156.7442,1
-0.4238,4.73,0.9361,8.093,1
0.2138,1.07,0.6284,24.2056,1
0.0109,3.05,0.3598,7.1934,1
-0.0855,0.3111,0.1414,36.4834,0
0.015,5.45,0.177,19.9193,1
0.0729,0.87,0.3385,26.9195,1
0.0878,-0.21,0.5577,0,1
0.0695,1.58,0.3725,19.1519,1
0.2223,0,0.644,0,1
0.2164,1.44,0.7662,56.6458,1
-0.0229,-1.4,0.4705,0,1
-0.288,0.76,0.7189,15.9737,0
0.0147,8.55,0.4297,15.1088,1
0.0553,9.64,0.3025,8.4595,1
0.4271,0.24,0.2961,45.375,1
-0.0019,-42.94,0.4575,0,0
1.4089,0.1481,0.3314,57.056,1
0.0607,4.63,0.5131,5.7041,1
0.1016,1.3,1,11.1,1
0.1856,2.07,1,10.3671,1
0.0604,-1.97,0.5849,0,1
-0.1287,27.42,0.4798,0,0
0.1155,3.79,1,14.8734,1
0.0806,2.55,1,6.898,1
0.0499,0.1,0.5966,198.3,0
0.1045,5.03,0.411,8.837,1
0.0317,7.65,0.4174,16.5608,1
-0.0167,0.85,0.7766,44.6824,1
0.108,0.66,0.9386,53.0152,1
0.2483,1.34,0.1496,14.3657,1
-0.4444,0.14,0.428,20.7857,0
0.0989,1.31,0.5737,24.7405,1
0.0903,4.34,0.3416,19.2258,1
0.1974,6.87,0.2983,14.2678,1
0.1572,3.01,0.7922,47.4219,1
-0.0562,1.4023,1,7.6018,1
0.0147,1.2347,1,10.0267,1
-0.0129,-0.56,0.7382,0,1
0.1675,2.39,0.2928,7.5356,1
-0.0168,2.41,0.5809,13.0207,1
0.6292,-1.26,0.5372,0,1
0.0941,-0.28,0.9119,0,0
-0.0057,1.1,0.2055,13.3455,0
0.0004,0.63,0.6325,46.127,1
0.0038,-1.9,0.4718,0,1
-0.0755,1.62,0.5898,16.6111,0
0.0198,0.97,0.3251,35.1649,0
0.448,-0.08,0.4473,0,1
0.6086,0.1699,0.6358,46.4979,0
1.4669,-2.62,0.2484,0,0
-0.1652,0.45,1,29.5778,1
0.634,-0.01,1,0,1
0.1632,3.29,0.9168,7.383,1
0.0807,2.83,0.2569,22.8127,1
0.1802,0.73,1,25.2877,1
0.0572,3.68,1,20.5272,1
-0.0741,-0.72,0.762,0,0
0.0305,1.99,0.3979,18.8693,1
0.1573,18.59,0.2257,13.1737,1
0.1482,1.82,0.2872,46.2692,1
0.1681,1.1,0.6081,79.6636,1
0.099,0.82,0.4605,29.4146,1
0.0922,1.26,0.95,50.0317,1
0.3,-3.44,0.2409,0,0
0.161,1.82,0.2147,6.0055,1
-0.0037,0.66,0.3599,0,1
0.0079,0.74,0.477,24.9595,1
0.1367,-5.56,0.2949,0,1
-0.029,1.05,0.5438,12.3905,1
0.4058,-0.49,0.804,0,1
0.1287,11.9,1,6.3521,1
0.3797,-1.99,0.7186,0,1
0.0818,9.14,0.7996,20.3195,1
0.7437,-0.36,0.015,0,1
0.0561,0.04,0.2334,85.75,0
-0.0634,-0.1149,0.3911,0,1
0.8059,8.09,0.7998,11.4586,0
0.1066,7.41,1,12.4588,1
0.115,2.74,0.3402,6.3285,0
0.0812,0.51,0.3816,56.8824,1
0.1283,6.38,0.1763,11.1442,1
0.0853,3.78,0.5583,27.2804,1
-0.0229,1.16,0.1615,15.4224,1
0.0742,2.99,0.326,18.9498,1
0.0158,1,0.0771,15.51,1
0.0218,1.64,0.3765,12.3232,1
0.0816,8.6,0.4457,11.3709,1
0.1595,5.18,0.8402,39.4286,1
0.436,-5.63,0.2341,0,0
0.2076,6.25,0.1945,9.1424,1
0.1036,5.41,0.3077,16.8632,1
0.0662,2.85,0.3564,18.2632,1
0.3387,0.92,1,9.3478,1
0.0041,3.36,0.3013,20.6131,1
0.1892,3.463,0.205,8.1172,1
0.0389,-2.1,0.2633,0,1
0.0832,1.84,0.2354,18.2228,1
0.1479,0.66,0.3287,42.6212,1
-0.3025,-1.78,0.7157,0,1
0.0665,2.19,0.1972,32.0685,1
0.2067,0.696,1,69.7845,1
0.0442,3.71,0.6272,30.3369,1
0.0941,1.01,0.4779,20.5743,1
0.3036,3.24,0.1487,11.8673,1
0.0508,6.16,0.6533,15.4951,1
0,2.08,0,5.9231,0
0.0468,1.86,0.6987,37.1183,1
2.2435,0.61,0.8351,3.7049,0
0.1773,0.47,0.7599,35.0213,0
1.4708,-1.88,0.8421,0,0
0.1982,4.48,0.3908,20.7679,1
0.0382,2.69,0.3572,14.1227,1
-0.0159,4.88,0.1702,9.4242,0
0.1759,3.55,0.322,19.1803,1
-0.381,-0.47,0.7554,0,1
0.1156,2.71,0.8249,41.5683,0
0.0424,0.58,0.3609,26.931,1
0.1612,2.35,0.546,12.5702,1
0.2008,-0.19,0.019,0,1
0.0253,4.43,0.5056,17.2596,1
0.0765,1.13,0.1179,35.5575,0
24.0703,-2.55,-1.6587,0,0
0.0737,7.24,0.3157,14.5359,1
-0.0514,0.83,0.3279,2.8554,1
0.0564,0.76,0.4646,23.8421,1
-0.1837,-2.16,0.4308,0,1
-0.0067,-7.48,0.1946,0,1
