Revenue Growth,EPS,Gross Margin,Profit Margin,Free Cash Flow margin,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,returnOnAssets,returnOnEquity,currentRatio,quickRatio,Graham Number,ROE,Gross Profit Growth,Net Income Growth,EPS Growth,Free Cash Flow growth,10Y Revenue Growth (per Share),5Y Revenue Growth (per Share),3Y Revenue Growth (per Share),10Y Operating CF Growth (per Share),5Y Operating CF Growth (per Share),3Y Operating CF Growth (per Share),10Y Net Income Growth (per Share),5Y Net Income Growth (per Share),3Y Net Income Growth (per Share),R&D Expense Growth,Class
0.2326,0.34,0.3779,0.052,-0.0199,18.8946,2.8493,54.2941,0,542.6193,533.1682353,53.79145401,2.799647876,0.177,0.2662,1.784,1.205141129,3.1121,0.2662,0.3693,11.2121,12.3333,-0.2772,-0.0366,-0.0127,0.0896,0,0,0,0,0,0,0.199,1
0.4309,-0.97,0.3233,-1.064,-0.6768,4.8634,6.0443,0,0,-10.3417,,,6.070696737,-0.787,-0.5434,5.726,5.582775008,0,-0.5434,2.55,0.6354,0.6712,0.0248,,,,,,,,,,-0.4969,1
0.3735,7.65,0.8325,0.396,0.2751,5.8403,6.7467,17.1359,24.6663,12.8689,12.94152149,17.13323535,6.784807837,0.3245,0.2628,7.194,6.940430383,70.9699,0.2628,0.3206,0.3889,0.3934,-0.1215,,0.4281,0.4456,,0.4216,0.4012,,0.6531,0.7983,0.3249,1
-0.0139,4.31,1,0.244,0.4261,1.2662,2.562,10.6914,6.1312,6.0131,6.017926742,9.694309443,2.56407294,,0.1142,0.280502005,0.117995332,63.8622,0.1142,-0.0139,0.0066,0.0411,0.9374,0.0869,0.0274,0.0271,0,-0.0717,0.3439,0.195,0.0243,0.0153,0,1
-0.043,-0.01,0.3423,0,0.0013,0.6205,0.7357,0,580.4289,571.5409,576.1872364,,0.741678901,,-0.0001,0.619610854,0.223271066,0,-0.0001,0.0167,0.999,0.9985,1.0078,0,0.0246,0.0554,0,-0.557,-0.687,0,0,0,0,1
0.0636,2.85,0.5349,0.113,0.1338,0,1.2164,10.014,9.0927,4.7639,4.612404541,10.38255358,1.177762789,0.1429,0.1052,0.798,0.491710649,40.2738,0.1052,0.104,-0.3423,-0.4025,0.3157,0.0114,-0.0081,-0.0056,0.0049,-0.0193,0.009,0,-0.0531,0.0705,0,1
0.0057,6.69,0.8961,0.248,0.4583,0.7398,1.7451,7.7818,3.8874,3.4406,3.465863782,7.097290023,1.757907575,,0.092,0.514877455,0.433257795,110.9149,0.092,0.0045,3.6545,3.245,3.8398,-0.114,0.0294,0.0476,-0.2233,-0.0658,0.0386,0,0.0997,0.0803,0,1
0.0768,1.32,0.3955,0.188,0.2493,,1.8743,9.9924,7.5194,5.2408,5.31386165,9.993313287,1.874343928,0.1257,0.156,1.678,0.973219186,,0.156,0.119,0.2457,0.2571,0.0578,-0.0078,-0.0419,0.1575,-0.0332,-0.0208,0.4817,-0.0686,0.6473,0,0.0971,1
0.057,4.81,1,0.205,0.1356,0.9302,1.7006,8.2432,12.4489,9.3366,9.14756167,7.638653178,1.666116588,,0.109,1.758189264,0.392023353,72.0059,0.109,0.057,0.4714,0.5318,1.8869,-0.0024,0.0661,0.0844,-0.2454,-0.2529,0,0.1274,0.272,0.1686,0,1
0.1213,0.59,0.1331,0.027,0.0312,7.1068,0.1041,3.8136,3.3379,1.9467,1.946721747,3.817039899,0.104128571,0.0623,1.8619,1.95,0.606415027,2.0514,1.8619,0.0964,0.7971,0.7879,3.594,-0.1086,-0.1196,-0.1688,0.0453,0,0.0087,0.3237,0,0,0,1
0.0827,9.04,1,0.282,0.1301,1.6109,2.9774,10.7987,23.3704,22.882,23.00612719,10.62841273,2.993588187,,0.1197,0.563646907,0.321466513,125.0585,0.1197,0.0827,0.3608,0.4236,2.3103,0.0527,0.0451,0.0869,-0.0481,-0.3191,-0.4031,0.2091,0.1561,0.143,0,1
0.0421,0.87,0.7953,0.091,0.3466,0,4.8428,53.7011,14.105,12.3961,12.31055675,52.80463513,4.809441287,0.057,0.0774,3.982,3.785661995,14.9783,0.0774,0.0324,-0.6205,-0.6217,0.1276,0.0814,0.0416,0.0326,0.0998,0.0459,0.0409,-0.0209,-0.176,-0.2721,-0.0112,1
0.0596,1.19,0.4384,0.053,0.108,12.2986,3.1795,60.3361,29.6664,23.3551,23.21257329,59.50248352,3.160103872,0.1427,0.197,2.506,1.447516556,12.7915,0.197,0.0421,-0.5441,-0.5352,0.427,0.0902,0.0962,0.0799,0.12,0.1246,0.0389,0.0222,-0.0296,-0.1448,0,1
0.0273,3.75,0.4848,0.146,0.1668,0,2.9397,20.8347,17.6202,13.2149,12.78910714,19.5010929,2.844979288,0.6217,0.1844,0.826,0.585614619,42.1237,0.1844,-0.0006,-0.3638,-0.3534,0.1901,0.0024,-0.0189,0.0063,0.0186,0.0173,0.0317,-0.002,-0.0124,0.1435,0,1
0.3056,0.25,0.3635,0.019,-0.0142,,0.1202,6.36,0,3.6853,3.694050618,6.242091855,0.11984671,0.0343,0.0568,1.768,0.784808757,,0.0568,0.1839,65.3968,0,-1.4271,,,0.0015,,,-0.3343,,,0,0,0
-0.1691,0.6082,1,0.0482,-0.096,,0.6778,13.551,0,-19.7212,,3.618259673,0.675801389,,0.1334,0.408616683,0.296516932,,0.1334,-0.1691,-0.1719,-0.1713,-1.2134,,0.2042,0.0649,,0,0,,0.1711,-0.0612,0,1
0.021,1.9,0.7903,0.208,0.2541,0,4.7033,22.9737,18.8037,15.9422,15.91331664,22.58227046,4.694765083,0.3546,0.1759,1.567,0.84305355,21.6349,0.1759,0.0262,-0.4766,-0.4678,-0.0654,0.0244,0.0383,0.0492,-0.0006,0.0076,0.0426,0.0466,-0.1007,0.1901,0.042,0
0.2209,-0.2518,0.1428,-0.0007,-0.0008,,0.1331,0,0,8.4775,2.884597756,,0.130372136,0.03,-0.0417,0.1256,0.487114748,,-0.0417,0.2427,-14.6684,-15.6755,-1.0221,,0.3489,0.3714,,0.3142,1.3172,,0,0,0.7479,1
-0.0667,-0.069,0.3743,-0.0287,0.0102,,1.5054,0,147.0383,34.748,41.21686999,,1.48879799,-0.1024,-0.0362,1.4885,0.848837209,,-0.0362,-0.1151,0.6399,0.7789,-0.8989,-0.1007,0.0799,0.022,-0.1774,0.2225,-0.1643,0,0,0,-0.1002,0
0.2452,1.6,0.6828,0.396,0.2856,3.9506,7.1912,17.9625,24.9518,16.3306,16.18209393,17.98225047,7.125828753,0.1861,0.1771,4.69,4.615214821,17.9479,0.1771,0.3131,12.1564,11.6667,0.2268,,0.0283,0.064,,1.9926,0.4535,,0,0,0.0219,1
0.1821,29.33,0.5148,0.588,0.4069,0,4.3647,7.5039,10.8437,10.2472,10.16128345,7.360485929,4.328098475,1.3036,0.4599,3.895,3.257912746,206.6345,0.4599,0.2614,6.2453,6.0167,0.4324,0.2017,0.3735,0.2449,0.3613,0.4869,0.3425,0.5412,0.6734,0.7838,0.1446,1
0.1868,3.27,0.4531,0.192,0.1834,9.2864,1.7731,9.5168,9.9604,8.0778,8.193851254,9.366168035,1.79853444,0.4096,0.484,2.704,1.619836818,22.7395,0.484,0.1967,-0.0352,0.0219,-0.081,0.1099,0.2221,0.2888,0.1146,0.4846,0.5744,0.1651,0.7268,0.4233,0.1381,1
0.0532,0.02,0.6642,0.017,0.1728,6.2196,3.7336,196.5,21.616,20.1331,20.14662268,219.2836773,3.7361529,0.0289,0.0097,1.557,1.475214345,0.9136,0.0097,0.0002,-0.4198,-0.3333,0.8518,0.2059,-0.0074,0.0791,0.0738,0.4029,0,0,0,0,0.0559,1
0.1876,4.88,0.3493,0.072,0.0566,1.5053,0.9948,13.9734,17.561,8.0164,7.838550582,13.54594821,0.972728766,0.0876,0.1087,0.84,0.485543771,70.5269,0.1087,0.1782,0.0573,0.054,0.1211,-0.0309,-0.0733,0.0461,-0.0317,-0.0372,0.0528,-0.0574,-0.0797,0.0826,-0.181,1
0.0159,-3.39,0.5469,-0.22,0.1382,0,4.7171,0,33.9993,27.2921,26.33688257,,4.551967498,-0.5534,-6.1512,1.526,1.316357889,0,-6.1512,-0.0079,-3.0303,-3.0422,-0.2753,0.0851,0.0129,-0.0036,0.0205,-0.122,-0.0775,0,0,0,0.0255,1
0.1099,0.4657,0.2019,0.0036,0.0255,,0.0085,11.7243,0.3347,,0.125688286,0.339241651,0.008544007,0.1178,0.1233,0.1524,0.846279415,,0.1233,0.003,0.0454,-0.0714,2.393,,0.5007,0.2511,,0.1541,0.4086,,0.4413,0.0765,0.0593,1
0.0276,0.02,0.6204,0.002,0.2613,22.0231,4.0203,2108.5,15.8232,14.512,14.61909453,1816.223144,4.049960385,0.0029,0.0025,2.287,2.290845201,2.0399,0.0025,0.0126,-0.9886,-0.9896,-0.0022,0.0444,0.0226,0.0192,0.0341,0.0315,0.0473,-0.3351,-0.5863,-0.7655,0.0451,1
0.0841,7.93,1,0.187,0.206,3.6606,2.2016,12.0202,10.7079,9.1185,9.067723987,11.69986638,2.189335835,,0.3105,1.820495924,1.167685228,68.1629,0.3105,0.0841,1.5186,1.6433,-0.3893,0.0825,0.0854,0.1187,0.0447,0.0572,-0.0089,0.1321,0.103,0.1609,0,1
0.0859,3.01,0.7098,0.218,0.2211,13.2524,3.7605,17.2691,17.0058,14.2831,14.04748852,16.95977273,3.698509899,0.4266,0.3507,1.611,1.393748827,24.1281,0.3507,0.0907,3.8858,3.9344,0.1822,0.0443,0.0679,0.1167,0.0686,0.1107,0.4235,0.0128,0.1413,0.4756,-0.0211,1
0.1226,4.43,0.8462,0.5,0.5938,0,14.884,34.0384,25.2487,23.7033,23.75433994,29.8422399,14.91605188,1.0978,0.3029,1.611,1.414418399,40.8517,0.3029,0.1086,0.5377,0.5821,0.4193,0.139,0.1498,0.1719,0.3915,0.3752,0.2868,0.3048,0.1889,0.2084,0,1
-0.0728,-0.02,0.5008,-0.004,0.046,176.2415,0.6927,0,14.9623,9.5701,9.49849648,,0.687527561,-0.06,-0.0291,1.043,0.951252332,0,-0.0291,-0.0099,-1.7891,-1.6667,0.7567,,0.0373,0.008,,0.0048,-0.0586,,0,0,0,0
0.0009,-0.15,1,-25.344,-19.7233,1.0491,174.8106,0,0,-8.8699,,,165.5769193,-0.1704,-0.152,21.992,21.81512382,0,-0.152,0.0009,0.0322,0.1667,-0.0228,-0.1636,-0.0971,-0.7035,0,0,0,0,0,0,0.2174,1
0.0252,1.73,1,0.291,0.3899,1.1793,2.475,8.5434,6.3862,6.1015,6.016850938,8.08050828,2.44063264,,0.1197,0.052913111,0.006220754,24.4151,0.1197,0.0252,0.4682,0.5175,0.4146,0.0017,0.0636,0.0693,0,0.0713,0.2122,0,0.123,0.1787,0,1
0.0325,1.55,1,0.307,0.3844,1.3649,2.5037,8.6323,6.879,6.0805,6.302496,8.459102301,2.595145412,,0.1123,0.048189897,0.052452012,22.5494,0.1123,0.0325,0.4137,0.5347,-0.0107,-0.0318,0.0621,0.0928,-0.0321,-0.0495,0.1996,0,0.1538,0.2726,0,1
0.0635,2.11,0.2201,0.016,0.0049,8.5919,0.2046,13.4929,42.1865,7.352,7.251650308,12.97843865,0.201773023,0.106,0.2751,0.783,0.139747834,19.3699,0.2751,0.0451,-0.0344,0.0144,0.0541,0.104,0.0862,0.0742,0.0738,0.0659,-0.039,0.0929,0.087,0.0655,0,1
0.1637,1.89,0.1244,0.069,0.0562,3.4609,0.9704,14.0635,17.2405,7.3758,7.263137472,13.84645229,0.955604293,0.1088,0.1739,2.322,1.508121616,21.5493,0.1739,0.3114,4.5767,4.566,0.0766,0.0285,-0.0348,-0.0034,0.0177,-0.0614,0.0193,-0.0282,-0.0437,0,0,0
0.7238,3.9646,0.5723,0.0405,0.4243,,14.3604,44.799,34.1647,20.7673,28.83435984,56.59754794,14.4946043,0.0771,0.1752,0.2992,1.547824166,,0.1752,0.5805,0.5971,0.5594,0.6111,,0.4591,0.4529,,0.513,0.4179,,0.4695,0.3512,0.454,1
0.3813,1.3,0.7847,0.167,0.0731,0.9869,1.8111,11.0308,25.2217,3.686,3.727867347,10.99992974,1.83165041,0.0613,0.0904,1.594,1.387008734,20.6984,0.0904,0.4971,1.1915,1.1932,33.3571,-0.2331,-0.1418,0.0207,-0.0877,-0.1255,0.1798,-0.1263,-0.1223,0,-0.2934,0
-0.1524,4.2,0.7807,0.247,0.3379,52.5061,3.6569,14.8929,10.8601,9.6328,9.572842714,14.74094937,3.634106693,0.1866,0.2551,3.379,3.150966525,39.6438,0.2551,-0.2053,0.1787,0.1864,-0.3389,0.1939,0.184,-0.0856,0.1871,0.2609,-0.2361,0.1461,0.1588,-0.3022,0.3439,1
0.01,5.61,0.0959,0.054,0.0442,1.4212,0.3211,5.9626,7.2668,3.0946,3.030847607,5.769729361,0.31444356,0.1063,0.2062,0.916,1.037148729,58.8975,0.2062,-0.2269,3.0402,3.117,-0.2682,,-0.0136,0.0679,,0.0358,0.1337,,0.0816,-0.0239,0,1
0.1356,1.79,0.2782,0.14,0.1082,1.5247,0.802,5.7598,7.414,3.8673,3.836230313,5.695371906,0.795542071,0.0735,0.2656,3.22,1.515770502,16.5027,0.2656,0.1718,0.432,0.432,-0.4249,-0.0578,-0.0924,-0.0162,-0.0492,-0.1533,-0.036,0,-0.0766,0,0.129,1
0.2493,0.5,0.7369,0.034,0.2091,39.4786,7.8062,227.82,36.9536,30.0501,29.74640248,226.2379167,7.727291271,0.2459,0.0347,0.952,0.838581504,12.6974,0.0347,0.2521,0.1146,0.0638,0.298,0.2485,0.2225,0.1963,0.2424,0.2403,0.2647,0.2905,0,0,0.2856,1
0.0688,2.38,0.6644,0.242,0.2212,62.9436,4.738,19.5672,21.3902,19.8521,19.6667943,19.41729829,4.69380824,0.484,0.1591,2.311,1.990915973,28.2395,0.1591,0.1034,5.641,5.6111,-0.1939,0.0698,0.1707,0.1539,0.09,0.1373,0.1075,0.1483,0.1926,0.2476,0.0299,1
0.4895,-0.09,0.3953,-0.012,0.0709,29.7052,7.0321,0,97.3052,78.5993,77.12298966,,6.900009245,-0.0278,-0.0343,2.073,1.599108921,0,-0.0343,0.5533,0.3878,0.4706,1.3016,,0.1347,0.0303,,0,0.8039,,0,0,0.5455,1
0.2377,7.44,0.1714,0.094,0.0576,2.3992,0.6488,6.9637,11.2715,6.7941,6.746944206,6.841785139,0.6443404,0.2114,0.2411,3.077,1.391317393,72.2602,0.2411,0.6718,0.7902,0.8102,1.2829,0.0058,0.0593,0.1579,-0.0044,0.1762,0.0397,0.0257,0.3743,2.0993,0,1
0.2057,0.93,0.4555,0.139,0.4081,0.8154,0.5132,3.6667,1.2433,1.6207,1.602203016,3.648965154,0.507378117,0.1127,0.2273,1.13,1.078014184,9.3546,0.2273,0.2031,-0.3436,-0.4329,10.7888,-0.0007,-0.0692,-0.0654,-0.0457,-0.1713,-0.1997,-0.056,-0.1419,0,0,0
0.0554,4.09,0.3269,0.05,0.0581,18.4452,1.2274,24.8166,21.1238,16.628,16.23645721,23.85774753,1.198467709,0.169,0.5869,1.056,0.057043651,25.5216,0.5869,0.0351,0.1145,0.1753,-0.1114,0.0962,0.1298,0.1269,0.0746,0.1278,0.0641,0.0802,0.1899,0.1442,0,1
-0.061,17.98,0.222,0.044,0.0037,0,0.0967,2.1691,25.8702,7.8156,7.815622608,2.206370301,0.096690384,0.3491,0.5893,1.367,0.668703965,110.1566,0.5893,-0.0562,231.7831,223.75,4.6522,-0.0408,-0.0641,-0.0929,0.096,-0.2275,-0.2773,0,0.4657,-0.2563,0,1
-0.041,0.33,0.7671,0.016,0.0643,,0.4524,7.0909,7.039,1.6273,1.547110851,27.4012943,0.428239466,0.0393,0.0387,0.702,0.560898163,,0.0387,-0.0498,1.2522,2.1379,0.3094,,-0.1201,-0.0184,,-0.1817,0.0735,,0,0,0,1
0.078,1.54,0.1322,0.065,0.1052,26.259,1.5226,23.4286,14.4717,8.7456,8.524938036,22.77968709,1.484167941,0.1535,0.0591,1.166,0.790301053,30.0784,0.0591,0.1129,2.4206,2.4259,0.0527,0.0042,-0.0709,-0.0541,-0.033,-0.1258,-0.1596,-0.1023,-0.2122,-0.0191,-0.108,1
0.0661,0.81,0.0627,0.017,-0.1723,5.7445,0.3316,19.7407,0,-2.1823,,19.76789282,0.332973176,0.1035,0.142,1.262,0.548993377,10.1959,0.142,0.0493,0.341,0.3729,-0.0167,0.023,0.0619,0.0213,0,0,0,0,0.1412,-0.0791,0,1
0.0234,3.52,0.3593,0.215,0.1085,4.9254,2.1476,10.7955,19.7014,16.9904,0,0,0,0.4383,0.228,3.172,2.463331438,36.4203,0.228,-0.0453,0.594,0.5928,-0.2473,,,,,,,,,,0,0
0.1608,3.67,0.7644,0.174,0.3905,0,4.2339,25.1199,11.1084,10.328,10.31556441,24.35503487,4.228836543,2.1966,-0.6733,0.983,0.779917629,0,-0.6733,0.1823,0.0712,0.1088,0.3561,,0.1244,0.1475,,0.1718,0.234,,0.0727,0.0525,1.0629,1
0.0077,3.69,0.3453,0.135,0.141,0,1.5387,11.5122,10.9116,8.5253,8.161374657,10.88055626,1.473054395,2.5706,0.347,0.562,0.283741266,29.9042,0.347,-0.0237,0.2857,0.3085,0.2794,0.0308,0.0003,-0.0227,0.068,0.0188,0.0532,0.0682,0.0537,0.2219,0,1
0.0383,3.76,0.5758,0.119,0.1351,0,1.7752,14.9521,13.1257,6.765,6.620487819,14.64070912,1.737243768,0.1806,0.2922,0.913,0.734168205,32.9662,0.2922,0.0327,-0.4841,-0.4898,1.5005,-0.0075,-0.055,-0.0054,-0.0146,-0.0929,-0.0451,0,-0.0128,-0.0492,0,1
-0.0424,1.4,0.3995,0.037,0.1068,5.129,0.479,14.1143,4.4843,4.1302,4.097710089,12.94013712,0.47521765,0.1514,0.0721,1.444,1.793909566,25.7221,0.0721,-0.0485,0.8513,0.9718,3.8226,-0.0657,-0.0869,-0.0307,0.0098,-0.0912,-0.0908,0.0361,-0.1665,-0.0505,-0.0637,1
0.0843,-1.37,0.8597,-0.089,0.1103,7.0526,4.074,0,37.1923,33.8526,34.07837565,,4.101188888,-0.1372,-0.1532,1.995,1.926563903,0,-0.1532,0.074,-120.8504,-136,-0.1762,0.1291,0.0723,0.0498,0.0886,-0.0558,-0.1194,0,0,0,0.1442,0
0.1574,6.31,0.1321,0.079,-0.0037,0.7995,0.2281,2.8906,0,3.4471,3.428579564,2.884311776,0.226830839,0.1716,0.2653,1.511,0.992180169,58.0119,0.2653,0.3455,1.8811,1.8552,-1.1626,-0.0895,-0.0786,0.0036,-0.0944,0.1358,0.2907,-0.1006,0,0,0,0
-0.0751,-1.55,0.3984,-0.118,-0.0398,0,0.7637,0,0,-126.2238,,,0.763414159,-0.3057,-0.812,1.863,1.241687896,0,-0.812,-0.0142,0.4943,0.4951,0.4466,-0.0223,-0.0707,-0.0801,0,0,0,0,0,0,0,1
0.3278,-1.63,0.5367,-0.074,0.1713,0,0.6984,0,4.0219,2.3282,2.197105721,,0.659047367,-0.0702,-0.0874,0.691,0.527210269,0,-0.0874,0.3309,-2.2477,-1.7376,0.7449,-0.0144,-0.0609,-0.1202,-0.0232,-0.0654,-0.108,0,0,0,0,0
0.0317,2.11,0.397,0.073,0.0738,0,0.862,12.0853,11.8732,8.8269,8.974552625,12.0337761,0.876389511,0.3428,-0.2587,1.751,0.471950895,0,-0.2587,0.0498,0.0326,0.1467,-0.1204,,0.0293,0.0766,,0.1071,0.0932,,0.1314,0.2559,0,0
0.2091,6.14,0.3862,0.285,0.1128,1.2646,0.9832,3.671,8.7145,3.9028,3.892172226,3.434867396,0.980476402,0.2504,0.3336,1.993,1.468553459,52.0625,0.3336,0.2066,2.412,2.5906,-0.0833,-0.0304,-0.0219,-0.105,-0.1219,-0.1548,-0.2145,0,0,0,-0.5342,1
0.0465,0.3693,1,0.001,0.1544,,0.0401,22.1771,0.2597,5.2515,0.245032718,0.61583736,0.039921732,,0.0697,0.173740478,0.142312272,,0.0697,0.0465,-0.245,-0.2463,-0.6431,0.1057,0.1583,0.1432,0.2856,0.0758,0,0.1208,0.0087,-0.1064,0,1
0.2884,5.36,0.1137,0.029,0.0271,2.039,0.4198,11.0093,11.6049,6.6202,4.872581552,10.79329396,0.309008642,0.0558,0.079,1.364,0.570520581,90.495,0.079,0.3329,-0.19,-0.2071,-0.3347,,0.0333,0.1175,,0.1708,0.1623,,0.0987,0.0041,0,1
0.0221,5.08,0.2364,0.099,0.1007,0,1.3001,13.1417,12.9048,10.9496,10.81265025,12.95440514,1.283869299,0.837,-0.635,1.131,0.590832412,0,-0.635,0.0301,0.3109,0.3093,0.0921,0.0502,0.0055,0.0248,0.0451,-0.0073,0.063,0.041,-0.0101,0.0468,0,1
0.1254,5.83,0.7996,0.354,0.3932,0,9.0508,25.2882,22.7963,21.1806,20.85121497,25.15693944,8.910024233,0.7084,-3.0505,1.774,1.702837302,0,-3.0505,0.1461,0.6708,0.7351,0.5867,0.1434,0.1668,0.1863,0.1632,0.2132,0.3366,0.2392,0.2575,0.4166,0.0733,1
0.0421,2.83,0.9229,0.476,0.512,1.0187,2.7416,5.7809,5.3782,5.1493,5.170617981,5.78301793,2.752989757,,0.1737,0.936176312,0.383520937,32.2511,0.1737,0.0518,4.0047,4.0536,0.9638,-0.1248,0.0568,-0.0016,0,0,2.7793,0,0,0.2537,0,1
-0.1004,1.51,0.6305,0.202,0.1952,0,6.3268,31.3576,32.4322,27.5336,27.31124478,31.07216534,6.275687839,1.1197,0.3789,0.866,0.687929956,11.6343,0.3789,-0.0934,4.1554,4.1536,0.1603,0.0081,-0.0668,-0.0976,0.005,-0.0628,-0.1077,0.0188,-0.0484,-0.0365,0,1
277.9342,-16.76,0.0157,-0.041,0.2437,1.0107,,0,49.2675,43.1825,10.41914112,,2.596061296,,,6.312,26.89594356,,,5.111,,-2.4252,1.4304,,,,0.029,0.0483,0.0502,,,,,1
0.0322,1.4,0.9527,0.273,0.2717,1.3336,6.7863,25.1786,25.1627,8.9806,8.897815587,22.66466044,6.723760157,,0.0471,0.770811366,0.055977197,31.9749,0.0471,0.0529,0.631,0.7722,-0.7762,,-0.0891,-0.1259,,0.0755,-0.0325,,0,0.1237,0,1
0.1885,5.36,0.4692,0.162,0.1597,2.2469,1.8535,11.6325,11.7612,5.5497,5.570100366,11.51409272,1.86029587,0.1213,0.1959,1.795,1.581068289,57.8492,0.1959,0.2853,8.3181,8.6571,1.4875,-0.1466,-0.0684,0.1005,-0.0289,-0.033,0.2206,0,-0.0633,0,-0.6049,1
